COD,RUA,REFERENCIA,ABRIGO,LATITUDE,LONGITUDE,ROTA1,ROTA2,ROTA3,ROTA4,ROTA5,ROTA6,ROTA7,ROTA8,ROTA9,ROTA10,ROTA11,ROTA12,ROTA13
001,CAMPOS SALES,70,,-7.221078984439373,-35.874209962785244,333,555,505,003,,,,,,,,,
002,CAMPOS SALES,274,,-7.222693003714085,-35.873241014778614,333,003,505,555,,,,,,,,,
003,FERNANDES VIEIRA,449,,-7.226035036146641,-35.873269010335207,505,550,,,,,,,,,,,
004,FERNANDES VIEIRA,259,,-7.22511101514101,-35.874778004363179,505,550,,,,,,,,,,,
004,BR-230,560,SIM,-7.237944966182113,-35.866168029606342,055,550,955,,,,,,,,,,
007,BR-230,IGREJA PETENCOSTAL,SIM,-7.238891031593084,-35.864332979544997,055,550,955,,,,,,,,,,
008,SAO LUIS,154,,-7.24012803286314,-35.862023010849953,055,550,,,,,,,,,,,
009,JOSELITA BRASILEIRO,137 - OPOSTO,,-7.240329030901194,-35.863694027066231,055,550,,,,,,,,,,,
010,RANULFO GOMES DE ARAUJO,208,,-7.240374041721225,-35.865807021036744,055,550,,,,,,,,,,,
011,BR-230,TERMO-PU - OPOSTO,,-7.243101010099053,-35.85587203502655,955,,,,,,,,,,,,
012,FLORIANO PEIXOTO,OI - TELEMAR,,-7.220379011705510,-35.885555036365900,111,101,004,904,944,202,,,,,,,
013,FLORIANO PEIXOTO,FEIRA CENTRAL,SIM,-7.217510975897310,-35.879532974213300,111,101,,,,,,,,,,,
014,JANUNCIO FERREIRA,CASA CORAL,SIM,-7.215552041307090,-35.879341028630700,111,101,,,,,,,,,,,
015,JANUNCIO FERREIRA,YPIRANGA,SIM,-7.215116014704100,-35.880980025976800,111,101,,,,,,,,,,,
016,JANUNCIO FERREIRA,ESCOLA LIONS,SIM,-7.213431000709530,-35.883446987718300,101,,,,,,,,,,,,
017,VIGOLVINO WANDERLEY,194,,-7.214123010635370,-35.885142982006000,101,,,,,,,,,,,,
018,FRANCISCO AFONSO DE ALBUQUERQUE,98,,-7.208808967843650,-35.887532997876400,101,,,,,,,,,,,,
019,FRANCISCO AFONSO DE ALBUQUERQUE,290,,-7.208434967324130,-35.886304965242700,101,,,,,,,,,,,,
020,CAPITAO ADHEMAR DE PAIVA,180,,-7.20757900737226,-35.884820027276800,101,,,,,,,,,,,,
021,NEWTON ESTILAC LEAL,219,,-7.20712898299098,-35.885549001395700,101,,,,,,,,,,,,
022,ADALTO TRAVASSOS DE MOURA,,SIM,-7.205591993406410,-35.885741030797300,101,,,,,,,,,,,,
023,ADALTO TRAVASSOS DE MOURA,424,,-7.204037988558410,-35.885392008349200,101,,,,,,,,,,,,
024,ADALTO TRAVASSOS DE MOURA,670,,-7.202240992337460,-35.884900996461500,101,,,,,,,,,,,,
025,PRESIDENTE ROOSEVELT,243,,-7.2022720053792,-35.883170971646900,101,,,,,,,,,,,,
026,PRESIDENTE ROOSEVELT,51,,-7.20276796258986,-35.881171971559500,101,,,,,,,,,,,,
027,DR. VASCONCELOS,SUCATA,,-7.199396006762981,-35.879273973405300,101,,,,,,,,,,,,
028,NACOES,ESC ANA AZEVEDO,,-7.196028996258974,-35.879571028053700,101,,,,,,,,,,,,
029,NACOES,,,-7.192379012703896,-35.88071197271340,101,,,,,,,,,,,,
030,REPUBLICA PORTUGUESA,,SIM,-7.187031023204327,-35.881342962384200,101,,,,,,,,,,,,
031,NACOES,,,-7.189367981627584,-35.881206002086400,101,,,,,,,,,,,,
032,NACOES,815,SIM,-7.191322976723313,-35.881049009039900,101,,,,,,,,,,,,
033,NACOES,625,,-7.192832976579666,-35.880666961893400,101,,,,,,,,,,,,
034,NACOES,406,,-7.194216996431351,-35.88068900629870,101,,,,,,,,,,,,
035,NACOES,175,SIM,-7.197465989738703,-35.878526978194700,101,,,,,,,,,,,,
036,MANOEL TAVARES,UPA,SIM,-7.200025990605354,-35.877134995535000,202,101,,,,,,,,,,,
037,APOLONIA AMORIM,593,SIM,-7.205013977363706,-35.875335987657300,101,,,,,,,,,,,,
038,REVERENDO AUGUSTO SANTIAGO,219 - OPOSTO,,-7.206175038591027,-35.876783961430100,101,,,,,,,,,,,,
039,FELIX CAROLINO BARBOSA,454,SIM,-7.209129994735122,-35.877199033275200,101,,,,,,,,,,,,
040,NEWTON ESTILAC LEAL,1133,,-7.209125971421599,-35.87793898768720,101,,,,,,,,,,,,
041,NEWTON ESTILAC LEAL,929,,-7.208754988387227,-35.87931202724570,111,,,,,,,,,,,,
042,ESTELITA CRUZ,615,,-7.210868988186121,-35.880124988034300,101,,,,,,,,,,,,
043,ESTELITA CRUZ,459,,-7.212132979184389,-35.880461018532500,101,,,,,,,,,,,,
044,ANTONIO CAMPOS,213,,-7.212417963892222,-35.881230980157800,101,,,,,,,,,,,,
045,JANUNCIO FERREIRA,SOLON DE LUCENA,SIM,-7.215221961960197,-35.881812013685700,111,101,955,,,,,,,,,,
046,JANUNCIO FERREIRA,JORNAL CORREIO,SIM,-7.21593601629138,-35.87903399951750,111,101,955,,,,,,,,,,
047,PRACA DA BANDEIRA,,SIM,-7.219793032854796,-35.884778033941900,101,111,,,,,,,,,,,
048,MELO LEITAO,PRACINHA,SIM,-7.222824012860656,-35.892817033454700,101,111,222,404,444,004,077,090,092,900,400,922,
049,DOM PEDRO I,480,SIM,-7.226051967591047,-35.892559038475100,111,400,404,077,090,101,902,092,901,911,900,,
050,DOM PEDRO I,MORTUARIA,,-7.227843012660742,-35.893326988443700,900,400,077,090,101,902,092,901,911,900,,,
051,ALMIRANTE BARROSO,MATERIAL DE CONSTRUCAO,SIM,-7.230092966929078,-35.89381598867470,404,400,077,090,101,902,092,901,911,900,,,
052,RIO DE JANEIRO,517,,-7.232735026627779,-35.89394498616450,400,101,,,,,,,,,,,
053,ESPÍRITO SANTO,PRACA,,-7.232666965574026,-35.892649982124500,101,,,,,,,,,,,,
054,ESPÍRITO SANTO,470,,-7.234531017020345,-35.892385030165300,101,,,,,,,,,,,,
055,ESPÍRITO SANTO,606,,-7.235541036352515,-35.892253015190300,101,,,,,,,,,,,,
056,ESPÍRITO SANTO,408,,-7.237419001758099,-35.892035001888800,101,,,,,,,,,,,,
057,ESPÍRITO SANTO,1288,,-7.240888020023704,-35.891612973064100,101,,,,,,,,,,,,
058,APRÍGIO NEPOMUCENO,,,-7.243026997894049,-35.891980016604000,101,245,,,,,,,,,,,
059,APRÍGIO NEPOMUCENO,484,,-7.243195977061987,-35.89349303394550,101,245,,,,,,,,,,,
060,SEVERINO PIMENTEL,ED. CANAA III,,-7.24425402469933,-35.893566962331500,101,245,,,,,,,,,,,
061,PEDRO OTAVIO DE FARIAS LEITE,690,,-7.245036978274584,-35.894018998369500,101,245,,,,,,,,,,,
062,GETULIO CAVALCANTE,1166,,-7.247147038578987,-35.894053028896400,101,245,,,,,,,,,,,
063,GETULIO CAVALCANTE,1626,,-7.248887959867716,-35.893853036686700,101,245,,,,,,,,,,,
064,GETULIO CAVALCANTE,1746,,-7.250136025249958,-35.893724039196900,101,245,,,,,,,,,,,
065,ARIEL DE OLIVEIRA,460,,-7.250385973602533,-35.894585028290700,101,245,,,,,,,,,,,
066,JOSE FIRMINO DA SILVA,54,,-7.251553991809487,-35.894858026877000,101,245,,,,,,,,,,,
067,JOSE FIRMINO DA SILVA,OFICINA,,-7.253425000235438,-35.894650993868700,101,111,,,,,,,,,,,
068,MANOEL ENEAS FIGUEIREDO FILHO,PONTO DE APOIO,SIM,-7.255475968122482,-35.89736002497370,101,111,,,,,,,,,,,
069,MANOEL ENEAS FIGUEIREDO FILHO,RESTAURANTE POPULAR,,-7.256444999948144,-35.896966997534000,101,111,,,,,,,,,,,
070,MANOEL ENEAS FIGUEIREDO FILHO,BAR DO PEBA,SIM,-7.256945986300707,-35.89673800393930,101,111,,,,,,,,,,,
071,MANOEL ENEAS FIGUEIREDO FILHO,OFICINA,,-7.255932027474046,-35.896854009479200,101,111,,,,,,,,,,,
072,JOSE FIRMINO DA SILVA,LAVA JATO,SIM,-7.253455007448793,-35.894529959186900,101,111,,,,,,,,,,,
073,DR. VENTURA,219,,-7.251932015642524,-35.895267985761100,101,245,,,,,,,,,,,
074,MANOEL LEONARDO GOMES,1192 - OPOSTO,,-7.251650970429182,-35.896103996783400,101,245,,,,,,,,,,,
075,MANOEL LEONARDO GOMES,05 - CIPRESA,SIM,-7.250094031915069,-35.896324021741700,101,245,,,,,,,,,,,
076,MANOEL LEONARDO GOMES,913,,-7.247302019968629,-35.896661980077600,101,245,,,,,,,,,,,
077,MANOEL LEONARDO GOMES,667A,,-7.245527990162373,-35.896854009479200,101,245,,,,,,,,,,,
078,MANOEL LEONARDO GOMES,POSTO DE SAUDE,,-7.242315961048007,-35.897224992513600,101,,,,,,,,,,,,
079,MANOEL LEONARDO GOMES,CASA DE ORACAO,,-7.240710994228721,-35.89740201830860,101,,,,,,,,,,,,
080,SEVERINO GALILEU,180,,-7.241852022707462,-35.896681006997800,101,,,,,,,,,,,,
081,SEVERINO GALILEU,360,,-7.243368979543448,-35.896495012566400,101,,,,,,,,,,,,
082,APRÍGIO NEPOMUCENO,LINS ARMARINHO,,-7.243699980899692,-35.897526992484900,101,245,,,,,,,,,,,
083,APRÍGIO NEPOMUCENO,1228,,-7.243817998096347,-35.898828031495200,101,245,,,,,,,,,,,
084,AUGUSTO BORBOREMA,480,,-7.245401004329324,-35.899212006479500,101,,,,,,,,,,,,
085,AUGUSTO BORBOREMA,414,,-7.246979987248778,-35.898938002064800,101,,,,,,,,,,,,
086,FRANCISCO ERNESTO DO REGO,2830,,-7.24747896194458,-35.900427969172500,101,,,,,,,,,,,,
087,ALMIRANTE BARROSO,1599,,-7.242697002366185,-35.901823975145800,111,077,090,900,092,922,901,911,101,,,,
088,ALMIRANTE BARROSO,PANIFICADORA SOUZA,,-7.241251962259412,-35.900853015482400,111,077,090,900,092,922,901,911,101,,,,
089,ALMIRANTE BARROSO,1043,,-7.238950962200761,-35.898878993466400,111,077,090,900,092,922,901,911,101,,,,
090,ALMIRANTE BARROSO,149,,-7.232221970334649,-35.894141960889100,111,400,077,090,901,911,092,902,922,101,,,
091,ALMIRANTE BARROSO,BORBOREMA,SIM,-7.230809032917023,-35.893797967582900,111,400,404,077,101,090,900,901,911,092,902,922,
092,DOM PEDRO I,HOSPITAL,SIM,-7.229017987847328,-35.893403012305400,111,400,404,077,101,090,900,901,911,092,902,922,944
093,DOM PEDRO I,FACULDADE DE COMUNICACAO,SIM,-7.226323038339615,-35.892530037090100,111,400,404,077,101,090,900,901,911,092,902,922,944
094,FLORIANO PEIXOTO,PREFEITURA,SIM,-7.219176962971687,-35.883015990257263,004,404,400,444,,,,,,,,,
095,BR-230,5995,SIM,-7.252281038090587,-35.836570020765066,955,,,,,,,,,,,,
096,BR-230,5725,SIM,-7.250783024355769,-35.840499037876725,955,,,,,,,,,,,,
097,FLORIANO PEIXOTO,PAGUE FACIL,,-7.218267023563385,-35.88107499293983,020,263,300,303,333,,,,,,,,
098,FLORIANO PEIXOTO,REDE COMPRAS,,-7.21808304078877,-35.880768969655037,092,500,505,550,555,055,,,,,,,
099,FLORIANO PEIXOTO,1044,,-7.217688001692295,-35.879819970577955,022,220,222,202,,,,,,,,,
100,FLORIANO PEIXOTO,1054,,-7.217594962567091,-35.879602041095495,901,911,900,090,009,,,,,,,,
101,FLORIANO PEIXOTO,1520,,-7.215876001864672,-35.876044007018209,202,003,,,,,,,,,,,
102,FLORIANO PEIXOTO,1834,,-7.21451997756958,-35.873102964833379,003,,,,,,,,,,,,
103,FLORIANO PEIXOTO,1726 - OPOSTO,,-7.214802028611302,-35.874166963621974,003,,,,,,,,,,,,
104,FLORIANO PEIXOTO,1461,,-7.21587298437953,-35.876393029466271,003,,,,,,,,,,,,
105,FLORIANO PEIXOTO,JUIZADO DO CONSUMIDOR,,-7.219114014878869,-35.883358977735043,903,,,,,,,,,,,,
106,FLORIANO PEIXOTO,DAMAS,SIM,-7.220322014763951,-35.885846978053451,660,066,263,222,,,,,,,,,
107,ANTONIO JOSE RODRIGUES,292 - OPOSTO,,-7.232785988599062,-35.865275021642447,055,,,,,,,,,,,,
108,FLORIANO PEIXOTO,289E,,-7.22042603418231,-35.886013023555279,004,404,444,945,,,,,,,,,
109,FLORIANO PEIXOTO,REAL CLUBE,SIM,-7.223939979448915,-35.893642986193299,220,500,555,066,263,022,660,202,,,,,
110,FLORIANO PEIXOTO,HELENO CABELEREIRO,SIM,-7.226473996415734,-35.899007990956306,066,263,660,222,550,202,022,,,,,,
111,FLORIANO PEIXOTO,1640,,-7.228187005966902,-35.902856038883328,066,263,660,222,550,202,022,,,,,,
112,FLORIANO PEIXOTO,MULTI CAR - OPOSTO,SIM,-7.230028007179499,-35.907143969088793,066,263,660,220,222,,,,,,,,
