lat,lon,count,RUA
-7.2091422,-35.9363779,1,RUA SANTA TEREZINHA
-7.2510877,-35.9112383,2,RUA SENADOR JOÃO CAVALCANTE DE ARRUDA
-7.2219207,-35.9216233,4,RUA FLORIPEDES COUTINHO
-7.2223667,-35.8734667,2,RUA PROFESSORA JOANA DARC FERREIRA DE ARRUDA
-7.2316367,-35.9229146,1,RUA JOSE ZACARIAS COSTA
-7.2175764,-35.8716472,4,RUA SANTO ANTONIO 
-7.2383857,-35.8860420,4,RUA VINTE E QUATRO DE MAIO 
-7.2144979,-35.9016135,1,RUA NATANAEL BELO 
-7.2496734,-35.8736797,1,RUA DOUTOR PAULO RAMOS FIGUEIREDO 
-7.2439938,-35.9012720,1,RUA JOSÉ GONÇALVES LUCENA 
-7.2496543,-35.9119310,1,RUA FRANCISCO BRASILEIRO 
-7.2223667,-35.8734667,2,RUA PIRAMIDAL
-7.2174881,-35.8642014,1,RUA LEONTINA TAVARES
-7.2254436,-35.9019078,1,RUA TABERNACULO
-7.2358406,-35.9049719,1,RUA RODRIGUES DE FARIAS
-7.2161225,-35.8725912,1,RUA ARRUDA CAMARA 
-7.2223667,-35.8734667,1,RUA MARECHAL CANDIDO RONDON
-7.2302724,-35.8665364,1,RUA JOSÉ VIEIRA DE LIMA 
-7.2297637,-35.9258706,2,AVENIDA PLINIO LEMOS
-7.2315441,-35.9224193,1,RUA PROFESSORA MARIA AUGUSTA MENDONÇA
-7.2256524,-35.8893318,1,RUA JOSE DO PATROCINIO 
-7.2223667,-35.8734667,2,RUA ODON SEVERIANO DE SOUZA
-7.2180225,-35.9016593,1,RUA CAPITÃO JOÃO DE LIRA
-7.2112139,-35.9014601,3,RUA ANTONIETA CAVALCANTE 
-7.2579169,-35.8973755,1,RUA JOSE ALVES
-7.2564180,-35.9065424,1,RUA ANTONIO PEREIRA FRUTUOSO 
-7.2436279,-35.8790807,1,RUA MANOEL DE BARROS
-7.2339942,-35.9105869,2,RUA DINAMÉRICA ALVES CORREIA
-7.2223667,-35.8734667,1,RUA MANUEL RAIMUNDO DE SOUSA
-7.2223667,-35.8734667,1,AVENIDA ALÇA SUDOESTE
-7.2049197,-35.9192722,1,RUA EMILIANO ROSENDO DA SILVA
-7.2091422,-35.9363779,2,RUA SANTA TEREZINHA
-7.2264095,-35.9222325,1,RUA JOAQUIM AMORIM JÚNIOR
-7.2505233,-35.8842511,1,RUA PROFESSOR EMÍLIO ARAÚJO CHAVES
-7.2223667,-35.8734667,1,RUA MARIA ANDRADE DO NASCIMENTO
-7.2477834,-35.8833218,1,RUA AROLDO DO NASCIMENTO CABRAL
-7.1990918,-35.8822681,2,RUA EZEQUIEL RODRIGUES 
-7.2525188,-35.9004089,1,RUA ANTONIO FIGUEIREDO AGRA 
-7.2223667,-35.8734667,1,RUA HERMENGARDA CÂMARA FILGUEIRAS DAMORIM
-7.2217283,-35.9163941,1,RUA APRÍGIO VELOSO
-7.2100268,-35.8945235,1,RUA ANA DE AZEVEDO 
-7.2223667,-35.8734667,1,RUA WILSON CESAR DE SOUZA 
-7.2223667,-35.8734667,1,RUA OLEGÁRIO AZEVEDO 
-7.2175764,-35.8716472,18,RUA SANTO ANTONIO
-7.2221776,-35.9102052,2,RUA SÃO VICENTE
-7.2223667,-35.8734667,1,RUA INSPETOR PEDRO CORREIA
-7.2111244,-35.8866017,1,RUA SEVERINA MARIA DA CONCEIÇÃO 
-7.2324716,-35.8918351,5,RUA RIO DE JANEIRO
-7.2210328,-35.9207898,1,RUA DAMIAO JOSE RODRIGUES 
-7.2134607,-35.8856391,1,RUA DOMINGOS SARMENTO 
-7.2543078,-35.9106384,1,RUA MARIA DAS MECES RODRIGUES
-7.2027714,-35.8825859,1,RUA MANOEL ELIAS DE CASTRO 
-7.2737205,-35.9318405,1,TRAVESSA GOIANA 
-7.2511199,-35.9035761,1,RUA ABSALÃO EMERENCIANO 
-7.2223667,-35.8734667,1,RUA ARTHUR FREIRE DE FIGUEIREDO
-7.2183894,-35.8847321,1,RUA CARDOSO VIEIRA
-7.2230627,-35.9200239,3,RUA DOUTOR SEVERINO RIBEIRO CRUZ
-7.2699120,-35.8971647,2,AV BRASILIA
-7.2317842,-35.8785139,1,RUA CUREMAS
-7.2196143,-35.8680883,4,RUA MAMEDE MOISES RAIA
-7.2385524,-35.8926909,1,RUA PADRE PEDRO SERRÃO
-7.2522253,-35.9262338,1,RUA MOUSART DE LIMA
-7.2223667,-35.8734667,1,RUA DO GLORIA
-7.2191979,-35.8633450,1,RUA ZUMBA MONTEIRO
-7.2111244,-35.8866017,1,RUA JOSEFA BENVINDO DA CONCEIÇÃO
-7.2297637,-35.9258706,1,RUA PLINIO LEMOS
-7.2153612,-35.8729548,2,RUA SANTA CECILIA
-7.2202454,-35.8941189,3,RUA ANTENOR NAVARRO
-7.2275983,-35.8770020,2,AV ELPIDIO DE ALMEIDA
-7.2234655,-35.8726491,1,RUA ESTACIO DE SA 
-7.2435010,-35.8954198,2,AVENIDA APRIGIO NEPOMUCENO
-7.2349973,-35.9297365,1,RUA SOUZA
-7.2230627,-35.9200239,1,RUA SEVERINO LUCENA VAZ RIBEIRO
-7.2509144,-35.8382862,1,RUA JOSÉ RODRIGUES DE LIMA 
-7.2181600,-35.8845104,1,RUA VENANCIO NEIVA 
