"","COD","RUA","REFERENCIA","ABRIGO","LATITUDE","LONGITUDE","ROTA"
"3034","001","CAMPOS SALES","70","",-7.22107898443937,-35.8742099627852,"003"
"1013","002","CAMPOS SALES","274","",-7.22269300371408,-35.8732410147786,"003"
"1111","101","FLORIANO PEIXOTO","1520","",-7.21587600186467,-35.8760440070182,"003"
"101","102","FLORIANO PEIXOTO","1834","",-7.21451997756958,-35.8731029648334,"003"
"102","103","FLORIANO PEIXOTO","1726 - OPOSTO","",-7.2148020286113,-35.874166963622,"003"
"103","104","FLORIANO PEIXOTO"," 1461","",-7.21587298437953,-35.8763930294663,"003"
"8227","140"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"003"
"149","150","MININISTRO JOSE AMERICO DE ALMEIDA","141","",-7.21970896236598,-35.8732100017369,"003"
"3184","152","FLORIANO PEIXOTO ","JR CABELEREIRO","SIM",-7.22055000253022,-35.8864249940962,"003"
"7284","208","JILO GUEDES","39","SIM",-7.21866801381111,-35.8754870295525,"003"
"1222","212","JILO GUEDES ","BORBAO","SIM",-7.21887102350593,-35.8757740259171,"003"
"330","331","SANTO ANTONIO"," 259 - OPOSTO","",-7.21622603014112,-35.8647870272398,"003"
"1346","336","SANTO ANTONIO","945 - VIZINHO","SIM",-7.21710302866995,-35.8673920389265,"003"
"5475","421","TAVARES CAVALCANTE","454 - OPOSTO","",-7.21751902252436,-35.8779509738088,"003"
"5476","422","TAVARES CAVALCANTE","599 - OPOSTO","",-7.21780803054571,-35.8767350111157,"003"
"422","423","JOANA D'ARC","882","",-7.22202798351645,-35.868994994089,"003"
"436","437","CAMPO SALES","ABRIGO JOSE PINHEIRO","",-7.22177099436522,-35.873553995043,"003"
"437","438","MAXIMINIANO MACHADO","298","",-7.22114101052284,-35.8725110348314,"003"
"8660","573"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"003"
"8661","574"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"003"
"2033","012","FLORIANO PEIXOTO","OI - TELEMAR","",-7.22037901170551,-35.8855550363659,"004"
"5102","048","MELO LEITAO ","PRACINHA","SIM",-7.22282401286066,-35.8928170334547,"004"
"93","094","FLORIANO PEIXOTO ","PREFEITURA","SIM",-7.21917696297169,-35.8830159902573,"004"
"107","108","FLORIANO PEIXOTO"," 289E","",-7.22042603418231,-35.8860130235553,"004"
"1217","207","MANOEL GONCALVES DE GUMARAES ","FIEP","SIM",-7.22221397794783,-35.8756030350924,"004"
