trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
500_diasUteis_1,06:30:00,06:30:00,CANTINHO_UNIVERSITARIO_457,1,,,
500_diasUteis_1,06:31:28,06:31:28,FIT_ACADEMIA_560,2,,,
500_diasUteis_1,06:32:39,06:32:39,CLINICA_SANTA_MARIA_-_OPOSTO_561,3,,,
500_diasUteis_1,06:34:44,06:34:44,1183_562,4,,,
500_diasUteis_1,06:37:08,06:37:08,794_-_OPOSTO_563,5,,,
500_diasUteis_1,06:39:54,06:39:54,238_-_OPOSTO_564,6,,,
500_diasUteis_1,06:41:03,06:41:03,310_565,7,,,
500_diasUteis_1,06:43:49,06:43:49,CASA_DA_PIZZA_566,8,,,
500_diasUteis_1,06:47:00,06:47:00,INTEGRACAO_1,9,,,
500_diasUteis_1,06:49:59,06:49:59,ARCA_TITAO_155,10,,,
500_diasUteis_1,06:49:59,06:49:59,OI_-_TELEMAR_012,11,,,
500_diasUteis_1,06:50:00,06:50:00,PRACA_CLEMENTINO_PROCOPIO_140,12,,,
500_diasUteis_1,06:50:37,06:50:37,PREFEITURA_094,13,,,
500_diasUteis_1,06:51:48,06:51:48,PAGUE_FACIL_097,14,,,
500_diasUteis_1,06:51:55,06:51:55,REDE_COMPRAS_098,15,,,
500_diasUteis_1,06:52:25,06:52:25,1044_099,16,,,
500_diasUteis_1,06:52:27,06:52:27,1054_100,17,,,
500_diasUteis_1,06:52:30,06:52:30,FEIRA_CENTRAL_013,18,,,
500_diasUteis_1,06:57:04,06:57:04,BOMPRECO_143,19,,,
500_diasUteis_1,06:57:07,06:57:07,BOMPRECO_144,20,,,
500_diasUteis_1,06:57:28,06:57:28,ARCA_CATEDRAL_145,21,,,
500_diasUteis_1,06:57:34,06:57:34,ANTIGO_PHD_146,22,,,
500_diasUteis_1,06:58:08,06:58:08,JUIZADO_DO_CONSUMIDOR_105,23,,,
500_diasUteis_1,06:58:42,06:58:42,PRACA_DA_BANDEIRA_147,24,,,
500_diasUteis_1,06:58:42,06:58:42,_047,25,,,
500_diasUteis_1,06:58:46,06:58:46,PRACA_DA_BANDEIRA_149,26,,,
500_diasUteis_1,06:59:00,06:59:00,DAMAS_151,27,,,
500_diasUteis_1,06:59:05,06:59:05,DAMAS_106,28,,,
500_diasUteis_1,06:59:07,06:59:07,289E_108,29,,,
500_diasUteis_1,07:00:00,07:00:00,JR_CABELEREIRO_152,30,,,
500_diasUteis_1,07:02:00,07:02:00,INTEGRACAO_2,31,,,
500_diasUteis_1,07:02:00,07:02:00,845_138,32,,,
500_diasUteis_1,07:02:00,07:02:00,REAL_CLUBE_109,33,,,
500_diasUteis_1,07:02:01,07:02:01,432_440,34,,,
500_diasUteis_1,07:02:01,07:02:01,112_441,35,,,
500_diasUteis_1,07:02:01,07:02:01,109_549,36,,,
500_diasUteis_1,07:02:01,07:02:01,ESTADUAL_DA_PRATA_550,37,,,
500_diasUteis_1,07:02:01,07:02:01,ATECEL_551,38,,,
500_diasUteis_1,07:02:01,07:02:01,1100_552,39,,,
500_diasUteis_1,07:02:02,07:02:02,CONDOMINIO_FORTALEZA_553,40,,,
500_diasUteis_1,07:02:02,07:02:02,97_554,41,,,
500_diasUteis_1,07:02:02,07:02:02,258_555,42,,,
500_diasUteis_1,07:02:02,07:02:02,35_490,43,,,
500_diasUteis_1,07:02:02,07:02:02,UFCG_453,44,,,
500_diasUteis_1,07:02:02,07:02:02,UFCG_452,45,,,
500_diasUteis_1,07:02:02,07:02:02,LAVA-JATO_-_OPOSTO_454,46,,,
500_diasUteis_1,07:02:03,07:02:03,PONTO_DAS_PLANTAS_-_OPOSTO_556,47,,,
500_diasUteis_1,07:02:03,07:02:03,279_450,48,,,
500_diasUteis_1,07:02:03,07:02:03,CONFORTEL_-_OPOSTO_557,49,,,
500_diasUteis_1,07:02:04,07:02:04,149_-_OPOSTO_558,50,,,
500_diasUteis_1,07:02:04,07:02:04,88_-_OPOSTO_559,51,,,
500_diasUteis_2,06:30:00,06:30:00,CANTINHO_UNIVERSITARIO_457,1,,,
